iter	Passed	Remaining
887	17241	21590
888	17259	21569
889	17279	21550
890	17297	21530
891	17316	21510
892	17334	21488
893	17358	21474
894	17374	21450
895	17392	21430
896	17410	21409
897	17430	21389
898	17445	21365
899	17464	21345
900	17483	21325
901	17505	21309
902	17523	21288
903	17544	21270
904	17563	21250
905	17584	21233
906	17600	21209
907	17625	21196
908	17642	21174
909	17662	21156
910	17709	21169
911	17731	21152
912	17748	21131
913	17768	21112
914	17787	21092
915	17811	21078
916	17837	21067
917	17861	21052
918	17880	21032
919	17899	21012
920	17918	20992
921	17938	20973
922	17958	20955
923	17977	20934
924	17994	20912
925	18014	20893
926	18034	20874
927	18055	20856
928	18073	20836
929	18092	20816
930	18111	20795
931	18127	20772
932	18143	20749
933	18162	20729
934	18185	20713
935	18201	20690
936	18218	20667
937	18234	20644
938	18251	20623
939	18268	20600
940	18288	20582
941	18310	20565
942	18329	20544
943	18348	20525
944	18365	20503
945	18381	20480
946	18404	20464
947	18421	20441
948	18438	20420
949	18455	20397
950	18471	20375
951	18490	20354
952	18509	20334
953	18527	20314
954	18544	20292
955	18563	20272
956	18583	20253
957	18599	20230
958	18616	20208
959	18636	20189
960	18654	20168
961	18672	20147
962	18688	20124
963	18706	20104
964	18724	20082
965	18742	20062
966	18760	20040
967	18778	20019
968	18796	19998
969	18817	19980
970	18835	19960
971	18854	19940
972	18869	19917
973	18888	19896
974	18905	19874
975	18923	19854
976	18941	19833
977	18959	19812
978	18976	19790
979	18997	19772
980	19011	19748
981	19029	19726
982	19048	19707
983	19067	19687
984	19085	19667
985	19104	19646
986	19123	19626
987	19142	19607
988	19164	19590
989	19183	19571
990	19201	19550
991	19218	19528
992	19240	19511
993	19262	19495
994	19283	19477
995	19302	19457
996	19321	19437
997	19343	19420
998	19363	19402
999	19380	19380
1000	19399	19360
1001	19416	19338
1002	19434	19317
1003	19453	19298
1004	19477	19284
1005	19493	19261
1006	19513	19242
1007	19531	19221
1008	19549	19201
1009	19568	19181
1010	19586	19160
1011	19607	19142
1012	19625	19122
1013	19642	19100
1014	19663	19082
1015	19687	19067
1016	19705	19047
1017	19726	19028
1018	19743	19007
1019	19764	18989
1020	19786	18972
1021	19805	18953
1022	19829	18937
1023	19848	18918
1024	19866	18897
1025	19885	18878
1026	19905	18858
1027	19923	18838
1028	19946	18822
1029	19964	18801
1030	19983	18781
1031	20002	18762
1032	20023	18743
1033	20043	18725
1034	20061	18704
1035	20080	18684
1036	20096	18662
1037	20113	18641
1038	20129	18618
1039	20147	18597
1040	20165	18577
1041	20182	18555
1042	20198	18533
1043	20216	18512
1044	20234	18492
1045	20251	18470
1046	20267	18448
1047	20287	18429
1048	20304	18407
1049	20321	18385
1050	20341	18367
1051	20359	18346
1052	20379	18327
1053	20403	18312
1054	20419	18290
1055	20440	18272
1056	20456	18250
1057	20477	18232
1058	20496	18212
1059	20513	18191
1060	20532	18171
1061	20549	18149
1062	20562	18125
1063	20580	18105
1064	20599	18085
1065	20619	18066
1066	20638	18046
1067	20657	18026
1068	20676	18007
1069	20693	17985
1070	20713	17967
1071	20732	17947
1072	20747	17924
1073	20763	17902
1074	20782	17882
1075	20800	17862
1076	20817	17840
1077	20837	17822
1078	20854	17800
1079	20871	17779
1080	20888	17758
1081	20908	17739
1082	20924	17717
1083	20946	17700
1084	20961	17677
1085	20981	17658
1086	20997	17636
1087	21014	17615
1088	21032	17594
1089	21049	17573
1090	21066	17552
1091	21083	17531
1092	21100	17510
1093	21131	17500
1094	21162	17490
1095	21188	17476
1096	21217	17464
1097	21238	17447
1098	21264	17433
1099	21282	17413
1100	21302	17394
1101	21319	17372
1102	21337	17352
1103	21358	17334
1104	21377	17314
1105	21395	17293
1106	21412	17273
1107	21430	17252
1108	21448	17232
1109	21468	17213
1110	21486	17193
1111	21507	17175
1112	21522	17152
1113	21541	17132
1114	21560	17113
1115	21577	17091
1116	21599	17074
1117	21616	17053
1118	21637	17035
1119	21654	17014
1120	21672	16993
1121	21688	16972
1122	21706	16951
1123	21723	16930
1124	21741	16910
1125	21759	16889
1126	21777	16869
1127	21796	16849
1128	21814	16829
1129	21830	16807
1130	21847	16786
1131	21867	16767
1132	21888	16749
1133	21907	16730
1134	21927	16710
1135	21949	16693
1136	21968	16674
1137	21988	16655
1138	22007	16636
1139	22026	16616
1140	22043	16595
1141	22059	16573
1142	22079	16554
1143	22096	16533
1144	22116	16514
1145	22134	16494
1146	22154	16475
1147	22171	16454
1148	22190	16435
1149	22209	16415
1150	22226	16394
1151	22244	16374
1152	22262	16353
1153	22279	16332
1154	22294	16310
1155	22311	16289
1156	22328	16268
1157	22346	16248
1158	22366	16230
1159	22383	16208
1160	22403	16189
1161	22422	16170
1162	22438	16148
1163	22456	16128
1164	22475	16109
1165	22500	16093
1166	22519	16074
1167	22537	16054
1168	22555	16033
1169	22571	16011
1170	22591	15993
1171	22608	15972
1172	22626	15952
1173	22644	15932
1174	22662	15911
1175	22678	15890
1176	22696	15869
1177	22715	15850
1178	22730	15828
1179	22747	15807
1180	22766	15787
1181	22785	15768
1182	22806	15750
1183	22829	15733
1184	22849	15715
1185	22870	15697
1186	22886	15675
1187	22904	15655
1188	22924	15636
1189	22942	15616
1190	22964	15598
1191	22982	15578
1192	23000	15558
1193	23021	15540
1194	23040	15521
1195	23058	15500
1196	23075	15479
1197	23094	15460
1198	23111	15439
1199	23129	15419
1200	23151	15402
1201	23168	15381
1202	23186	15361
1203	23206	15342
1204	23224	15322
1205	23242	15302
1206	23260	15281
1207	23275	15260
1208	23291	15238
1209	23308	15217
1210	23324	15196
1211	23346	15179
1212	23369	15161
1213	23387	15142
1214	23408	15123
1215	23427	15104
1216	23445	15084
